1	Standard for Flexible Metal Conduit
4	Standard for Armored Cable
5	Standard for Surface Metal Raceways and Fittings
5A	Nonmetallic Surface Raceways and Fittings
5B	Standard for Strut-Type Channel Raceways and Fittings
5C	Standard for Surface Raceways and Fittings for Use with Data, Signal, and Control Circuits
6	Electrical Rigid Metal Conduit - Steel
6A	Standard for Electrical Rigid Metal Conduit - Aluminum and Stainless Steel
7	Outline of Investigation for Pump Tank Extinguishers
8	Water Based Agent Fire Extinguishers
9	Standard for Fire Tests of Window Assemblies
10	Subject 10 - Fire Doors
10	Guide for Evaluating Doors and Frames for Listing and Labelling
10A	Standard for Tin-Clad Fire Doors
10B	Standard for Fire Tests of Door Assemblies
10C	Standard for Positive Pressure Fire Tests of Door Assemblies
10D	Standard for Fire Tests of Fire-Protective Curtain Assemblies
13	Standard for Power-Limited Circuit Cables
14	Guide for Hardware for Fire Doors and Emergency Exits
14B	Standard for Sliding Hardware for Standard, Horizontally Mounted Tin-Clad Fire Doors
14C	Standard for Swinging Hardware for Standard Tin-Clad Fire Doors Mounted Singly and in Pairs
19	Standard for Lined Fire Hose and Hose Assemblies
19G	Guidance for Lined Fire Hose and Hose Assemblies
20	General-Use Snap Switches
21	Standard for LP-Gas Hose
22	Standard for Amusement and Gaming Machines
25	Standard for Meters for Flammable and Combustible Liquids and LP-Gas
25	Meters for Flammable and Combustible Liquids and Propane
25A	Meters for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85)
25B	Meters for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil
30	Standard for Metal Safety Cans
30	Safety Containers
32	Standard for Metal Waste Cans
33	Standard for Heat Responsive Links for Fire-Protection Service
38	Standard for Manual Signaling Boxes for Fire Alarm Systems
44	Thermoset-Insulated Wires and Cables
47	Standard for Semiautomatic Fire Hose Storage Devices
47	Preliminary Standard for Fire Hose Rack Assemblies
48	Standard for Electric Signs
50	Enclosures for Electrical Equipment, Non-Environmental Considerations
50E	Enclosures for Electrical Equipment, Environmental Considerations
50E	Enclosures for Electrical Equipment, Environmental Considerations
50V	Outline of Investigation for Infrared Viewports
51	Standard for Power-Operated Pumps for Anhydrous Ammonia and LP-Gas
55A	Standard for Materials for Built-Up Roof Coverings
55A	Standard for Materials for Built-Up Roof Coverings
58	Standard for Steel Underground Tanks for Flammable and Combustible Liquids
58.1	Jacketed Steel Underground Tanks for Flammable and Combustible Liquids
58.2	Special Corrosion Protection Underground Tanks for Flammable and Combustible Liquids 
