Essential Requirements	Harmonized Standard (1)	Valid endorsed IEC or international standard edition	Publication date
SAFETY	GSO IEC 60335-1	IEC 60335-1:2010+A1:2013+A2:2016 (Ed. 5.2)	2016/05/10
SAFETY	GSO IEC 60335-1	IEC 60335-1:2010+A1:2013 (Ed. 5.1)	2013/12/09
SAFETY	GSO IEC 60335-2-80	IEC 60335-2-80:2015 (Ed. 3.0)	2015/04/16
SAFETY	GSO IEC 60335-2-24	IEC 60335-2-24:2010+A1:2012+A2:2017 (Ed. 7.2)	2017/04/19
SAFETY	GSO IEC 60335-2-24	IEC 60335-2-24:2010+A1:2012 (Ed. 7.1)	2012/05/23
SAFETY	IEC 60335-2-4	IEC 60335-2-4:2008+A1:2012+A2:2017 (Ed. 6.2)	2017/08/29
SAFETY	IEC 60335-2-4	IEC 60335-2-4:2008+A1:2012 (Ed. 6.1)	2012/11/13
SAFETY	GSO IEC 60335-2-7	IEC 60335-2-7:2008+A1:2011+A2:2016 (Ed. 7.2)	2016/04/13
SAFETY	GSO IEC 60335-2-7	IEC 60335-2-7:2008+A1:2011 (Ed. 7.1 ) 	2011/12/07
SAFETY	GSO IEC 60335-2-11	IEC 60335-2-11:2008+A1:2012+A2:2015 (Ed. 7.2)	2015/11/26
SAFETY	GSO IEC 60335-2-43	IEC 60335-2-43:2017 (Ed. 4.0)	2017/10/11
SAFETY	GSO IEC 60335-2-43	IEC 60335-2-43:2002+A1:2005+A2:2008 (Ed. 3.2)	2008/07/17
SAFETY	GSO IEC 60335-2-14	IEC 60335-2-14:2016 (Ed.6.0) 	2016/06/24
SAFETY	GSO IEC 60335-2-14	IEC 60335-2-14:2006+A1:2008+A2:2012 (Ed. 5.2)	2012/11/07
SAFETY	GSO IEC 60335-2-23	IEC 60335-2-23:2016 (Ed. 6.0) 	2016/06/09
SAFETY	GSO IEC 60335-2-23	IEC 60335-2-23:2003+A1:2008+A2:2012 (Ed. 5.2)	2012/01/10
SAFETY	GSO IEC 60335-2-30	IEC 60335-2-30:2009+A1:2016 (Ed. 5.1) 	2016/11/16
SAFETY	GSO IEC 60335-2-30	IEC 60335-2-30:2009 (Ed. 5.0) 	2009/11/26
SAFETY	GSO IEC 60335-2-25	IEC 60335-2-25:2010+A1:2014+A2:2015 (Ed. 6.2)	2015/11/23
SAFETY	IEC 60335-2-6	IEC 60335-2-6:2014 + A1: 2018 (Ed. 6.1)	2018/05/28
SAFETY	IEC 60335-2-6	IEC 60335-2-6:2014 (Ed. 6.0)	2014/02/25
SAFETY	GSO IEC 60335-2-9	IEC 60335-2-9:2008+A1:2012+A2:2016 (Ed. 6.2)	2016/04/12
SAFETY	GSO IEC 60335-2-12	IEC 60335-2-12:2002+A1:2008+A2:2017 (Ed. 5.2)	2017/10/17
SAFETY	GSO IEC 60335-2-12	IEC 60335-2-12:2002+A1:2008 (Ed. 5.1)	2008/04/09
SAFETY	GSO IEC 60335-2-13	IEC 60335-2-13:2009+A1:2016 (Ed. 6.1)	2016/04/08
SAFETY	GSO IEC 60335-2-13	IEC 60335-2-13:2009 (Ed. 6.0)	2009/12/14
SAFETY	GSO IEC 60335-2-15	IEC 60335-2-15:2012+A1:2016 (Ed. 6.1)	2016/04/08
SAFETY	GSO IEC 60335-2-15	IEC 60335-2-15:2012 (Ed. 6.0)	2012/11/06
SAFETY	GSO IEC 60335-2-102	IEC 60335-2-102: 2017 (Ed. 2.0)	2017/12/08
SAFETY	GSO IEC 60335-2-102	IEC 60335-2-102:2004+A1:2008+A2:2012	2012/11/07
SAFETY	GSO IEC 60335-2-21	IEC 60335-2-21:2012 (Ed. 6.0)	2012/11/06
SAFETY	GSO IEC 60335-2-35	IEC 60335-2-35:2012 + A1:2016 (Ed. 5.1) 	2016/11/08
SAFETY	GSO IEC 60335-2-35	IEC 60335-2-35:2012 (Ed. 5.0)	2012/11/06
SAFETY	GSO IEC 60335-2-73	IEC 60335-2-73:2002+A1:2006+A2:2009 (Ed. 2.2)	2009/09/29
SAFETY	GSO IEC 60335-2-74	IEC 60335-2-74:2002+A1:2006+A2:2009 (Ed. 2.2)	2009/09/29
SAFETY	GSO IEC 60335-2-3	IEC 60335-2-3:2012+A1:2015 (Ed. 6.1)	2015/07/09
SAFETY	GSO IEC 60335-2-44	IEC 60335-2-44:2002+A1:2008+A2:2011 (Ed. 3.2)	2011/08/30
SAFETY	GSO IEC 60335-2-85	IEC 60335-2-85:2002+A1:2008+A2:2017 (Ed. 2.2)	2017/07/13
SAFETY	GSO IEC 60335-2-85	IEC 60335-2-85:2002+A1:2008 (Ed. 2.1)	2008/04/09
SAFETY	GSO IEC 60335-2-29	IEC 60335-2-29:2016 (Ed. 5.0)	2016/06/09
SAFETY	GSO IEC 60335-2-29	IEC 60335-2-29:2002+A1:2004+A2:2009 (Ed. 4.2)	2009/12/10
SAFETY	GSO IEC 60884-1	IEC 60884-1:2002+A1:2006+A2:2013 (Ed. 3.2)	2013/02/14
SAFETY	GSO IEC 60884-2-1	IEC 60884-2-1:2006 (Ed. 2.0)	2006/10/11
SAFETY	GSO IEC 60884-2-3	IEC 60884-2-3:2006 (Ed. 2.0)	2006/10/11
SAFETY	GSO IEC 60884-2-4	IEC 60884-2-4:2007 (Ed. 3.0)	2007/11/21
SAFETY	GSO IEC 60884-2-5	IEC 60884-2-5:2017 (2.0)	2017/05/11
SAFETY	GSO IEC 60884-2-5	IEC 60884-2-5:1995 (Ed. 1.0)	1995/07/28
SAFETY	GSO IEC 60884-2-6	IEC 60884-2-6:1997 (Ed. 1.0)	1997/08/26
SAFETY	GSO IEC 60884-2-7	IEC 60884-2-7:2011+A1:2013 (Ed. 1.1)	2013/06/21
SAFETY	GSO 2117	IEC 60884-2-7:2011+A1:2013 (Ed. 1.1)	2013/06/22
SAFETY	GSO BS 1363-1	BS 1363-1:2016	2016/08/31
SAFETY	GSO BS 1363-1	BS 1363-1:1995+A4:2012	2012/05/31
SAFETY	GSO BS 1363-2	BS 1363-2:2016	2016/08/31
SAFETY	GSO BS 1363-2	BS 1363-2:1995+A4:2012	2012/05/31
SAFETY	GSO BS 546	BS 546:1950	1950/03/16
SAFETY	GSO IEC 60950-1 	IEC 60950-1:2005+A1:2009+A2:2013  (Ed. 2.2)	2013/05/28
SAFETY	GSO IEC 60335-2-40	IEC 60335-2-40: 2018 (Ed. 6.0)	2018/01/26
SAFETY	GSO IEC 60335-2-40	IEC 60335-2-40:2013+A1:2016 (Ed. 5.1)	2016/04/28
SAFETY	GSO IEC 60335-2-40	IEC 60335-2-40:2013 (Ed. 5.0) 	2013/12/03
EMC	GSO CISPR 14-1	CISPR 14-1:2016 (Ed. 6.0) 	2016/08/10
EMC	GSO CISPR 14-1	CISPR 14-1:2005+A1:2008+A2:2011 (Ed. 5.2)	2011/07/12
EMC	CISPR 14-2	CISPR 14-2:2015 (Ed. 2.0) 	2015/02/18
EMC	GSO IEC 61000-3-2	IEC 61000-3-2:2014 (Ed. 4.0)	2014/05/26
EMC	GSO IEC 61000-3-2	IEC 61000-3-2:2018 (Ed. 5.0)	2018/01/26
EMC	GSO IEC 61000-3-3	IEC 61000-3-3:2013+A1:2017 (Ed. 3.1)	2017/05/18
EMC	GSO IEC 61000-3-3	IEC 61000-3-3:2013 (Ed. 3.0)	2013/05/14
EMC	GSO IEC 61000-3-11	IEC 61000-3-11:2017 (Ed.  2.0)	2017/04/21
EMC	GSO IEC 61000-3-11	IEC 61000-3-11:2000 (Ed. 1.0)	2000/08/30
EMC	GSO IEC 61000-3-12	IEC 61000-3-12:2011  (Ed. 2.0)	2011/05/12
EMC	CISPR 11	CISPR 11:2015+A1:2016 (Ed.6.1)	2016/06/23
EMC	CISPR 11	CISPR 11:2015 (ed. 6.0)	2015/06/09
EMC	IEC 61000-6-3	IEC 61000-6-3:2006+A1:2010 (ed. 2.1)	2010/12/08
EMC	IEC 61000-6-1	IEC 61000-6-1:2016 (Ed. 3.0)	2016/08/10
EMC	IEC 61000-6-1	IEC 61000-6-1:2005 (Ed. 2.0)	2005/03/09
